offer_id_1,offer_id_2,class,image_1,image_2
57e5832a87323988,962262f971541347,same,https://cdn.hometogo.com/large/v1/9cb/eba/4af96b5d191384f72b885ba11e.jpg,https://cdn.hometogo.com/large/v1/8bb/8ce/cdb7ed5e3921bfabd5825c2ada.jpg
55c56b707d676e4d,c3d455941069aadb5680f52e8b549b1e,angle-15-30,https://cdn.hometogo.com/large/v1/be2/a8e/a2fe34f178f99c93d4f6fd8708.jpg,https://cdn.hometogo.com/large/v1/c7f/1b7/bf09349c0fe1fbcaa56e544ef7.jpg
55c56b707d676e4d,c3d455941069aadb5680f52e8b549b1e,renovation,https://cdn.hometogo.com/large/v1/be2/a8e/a2fe34f178f99c93d4f6fd8708.jpg,https://cdn.hometogo.com/large/v1/c7f/1b7/bf09349c0fe1fbcaa56e544ef7.jpg
6d32ab74e7db9f1475c9824f224593a2,c3d455941069aadb5680f52e8b549b1e,aspect-ratio,https://cdn.hometogo.com/medium/v1/83b/836/5d545ecf25457adf27a84f58e7.jpg,https://cdn.hometogo.com/large/v1/c7f/1b7/bf09349c0fe1fbcaa56e544ef7.jpg
6d32ab74e7db9f1475c9824f224593a2,c3d455941069aadb5680f52e8b549b1e,angle-15-30,https://cdn.hometogo.com/medium/v1/83b/836/5d545ecf25457adf27a84f58e7.jpg,https://cdn.hometogo.com/large/v1/c7f/1b7/bf09349c0fe1fbcaa56e544ef7.jpg
0212e4b58116b5f4,284d2926cb7f74145a96d3a2f69c7440,aspect-ratio,https://cdn.hometogo.com/medium/v1/fbe/9e7/5511baff6ee224160c3330138c.jpg,https://cdn.hometogo.com/large/v1/516/851/9e9cb545e89bb2aa132b0e5f94.jpg
0212e4b58116b5f4,284d2926cb7f74145a96d3a2f69c7440,crop,https://cdn.hometogo.com/medium/v1/fbe/9e7/5511baff6ee224160c3330138c.jpg,https://cdn.hometogo.com/large/v1/516/851/9e9cb545e89bb2aa132b0e5f94.jpg
0212e4b58116b5f4,284d2926cb7f74145a96d3a2f69c7440,resolution,https://cdn.hometogo.com/medium/v1/fbe/9e7/5511baff6ee224160c3330138c.jpg,https://cdn.hometogo.com/large/v1/516/851/9e9cb545e89bb2aa132b0e5f94.jpg
0212e4b58116b5f4,284d2926cb7f74145a96d3a2f69c7440,zoom,https://cdn.hometogo.com/medium/v1/fbe/9e7/5511baff6ee224160c3330138c.jpg,https://cdn.hometogo.com/large/v1/516/851/9e9cb545e89bb2aa132b0e5f94.jpg
a20edb31fd9bcc278a2374287fd0bf03,ef721f50cb0ae6ae,aspect-ratio,https://cdn.hometogo.com/large/v1/eef/d3e/5f70e1a2e71678126626d7ece7.jpg,https://cdn.hometogo.com/large/v1/534/ef0/6c56162e36b49485854bb4978d.jpg
a20edb31fd9bcc278a2374287fd0bf03,ef721f50cb0ae6ae,zoom,https://cdn.hometogo.com/large/v1/eef/d3e/5f70e1a2e71678126626d7ece7.jpg,https://cdn.hometogo.com/large/v1/534/ef0/6c56162e36b49485854bb4978d.jpg
728e845b3f9df7be533515d8c320585a,ef721f50cb0ae6ae,aspect-ratio,https://cdn.hometogo.com/large/v1/d55/b37/76ac2edfc6da3fa180260f6662.jpg,https://cdn.hometogo.com/large/v1/534/ef0/6c56162e36b49485854bb4978d.jpg
728e845b3f9df7be533515d8c320585a,ef721f50cb0ae6ae,crop,https://cdn.hometogo.com/large/v1/d55/b37/76ac2edfc6da3fa180260f6662.jpg,https://cdn.hometogo.com/large/v1/534/ef0/6c56162e36b49485854bb4978d.jpg
728e845b3f9df7be533515d8c320585a,ef721f50cb0ae6ae,zoom,https://cdn.hometogo.com/large/v1/d55/b37/76ac2edfc6da3fa180260f6662.jpg,https://cdn.hometogo.com/large/v1/534/ef0/6c56162e36b49485854bb4978d.jpg
4432ee552af7b234,cbb511fd8dc1197eb221d28143a2bad9,crop,https://cdn.hometogo.com/large/v1/e99/2c6/86af803b16d00030a480102365.jpg,https://cdn.hometogo.com/large/v1/190/f11/46a75b875c264a3a9353393689.jpg
4432ee552af7b234,cbb511fd8dc1197eb221d28143a2bad9,zoom,https://cdn.hometogo.com/large/v1/e99/2c6/86af803b16d00030a480102365.jpg,https://cdn.hometogo.com/large/v1/190/f11/46a75b875c264a3a9353393689.jpg
4432ee552af7b234,cbb511fd8dc1197eb221d28143a2bad9,illumination,https://cdn.hometogo.com/large/v1/e99/2c6/86af803b16d00030a480102365.jpg,https://cdn.hometogo.com/large/v1/190/f11/46a75b875c264a3a9353393689.jpg
4432ee552af7b234,cbb511fd8dc1197eb221d28143a2bad9,renovation,https://cdn.hometogo.com/large/v1/e99/2c6/86af803b16d00030a480102365.jpg,https://cdn.hometogo.com/large/v1/190/f11/46a75b875c264a3a9353393689.jpg
70358487234c72bf,e13299e10f3bcd06,crop,https://cdn.hometogo.com/medium/v1/339/4ab/faa5a5e3d45ebf5b7827e0e741.jpg,https://cdn.hometogo.com/large/v1/124/0fe/e3c952d83c90c58a0b670c8291.jpg
70358487234c72bf,e13299e10f3bcd06,resolution,https://cdn.hometogo.com/medium/v1/339/4ab/faa5a5e3d45ebf5b7827e0e741.jpg,https://cdn.hometogo.com/large/v1/124/0fe/e3c952d83c90c58a0b670c8291.jpg
70358487234c72bf,e13299e10f3bcd06,zoom,https://cdn.hometogo.com/medium/v1/339/4ab/faa5a5e3d45ebf5b7827e0e741.jpg,https://cdn.hometogo.com/large/v1/124/0fe/e3c952d83c90c58a0b670c8291.jpg
0322fdd93023b16b31456345337a2590,e13299e10f3bcd06,same,https://cdn.hometogo.com/large/v1/d6e/e13/972eee3d2d2e86444a67e97d3e.jpg,https://cdn.hometogo.com/large/v1/124/0fe/e3c952d83c90c58a0b670c8291.jpg
4db39dfb32ad985c633c3b321c94f380,e3ccfe88fe8ee375,watermark,https://cdn.hometogo.com/medium/v1/4fb/874/e53574520b908003e7daaa1ea2.jpg,https://cdn.hometogo.com/medium/v1/d1f/16a/3aa36833ae4fd7b3fde70dec1e.jpg
4db39dfb32ad985c633c3b321c94f380,e3ccfe88fe8ee375,angle-15-30,https://cdn.hometogo.com/medium/v1/4fb/874/e53574520b908003e7daaa1ea2.jpg,https://cdn.hometogo.com/medium/v1/d1f/16a/3aa36833ae4fd7b3fde70dec1e.jpg
4db39dfb32ad985c633c3b321c94f380,e3ccfe88fe8ee375,illumination,https://cdn.hometogo.com/medium/v1/4fb/874/e53574520b908003e7daaa1ea2.jpg,https://cdn.hometogo.com/medium/v1/d1f/16a/3aa36833ae4fd7b3fde70dec1e.jpg
5435a9cdcf5bdee14ecd7128f67fc8cf,c56bdd9d641cf853,same,https://cdn.hometogo.com/medium/v1/258/c74/56a88eaa8ced3588629ae84679.jpg,https://cdn.hometogo.com/medium/v1/0f9/a22/c6262a31f96798be4194d47a36.jpg
0f887d088a041b3f30f22834f866016a,c1aa599d42c7abc15ee7122dc652ce13,resolution,https://cdn.hometogo.com/medium/v1/2b3/8ab/c214444c7633db9129748e3176.jpg,https://cdn.hometogo.com/medium/v1/e47/445/a256d1c8fc20d9abc87b1fce59.jpg
a20edb31fd9bcc278a2374287fd0bf03,c56669893d33dcda9d28cd3806d5a3a3,angle-15-30,https://cdn.hometogo.com/large/v1/eef/d3e/5f70e1a2e71678126626d7ece7.jpg,https://cdn.hometogo.com/large/v1/5f0/f7d/3eeec700a9451a43ec85ba4914.jpg
7064f0fd8d66fed5,a2eb24829cbd3eb5,same,https://cdn.hometogo.com/medium/v1/fe0/ba3/41587d21d3b0a1fcdea63d6dfb.jpg,https://cdn.hometogo.com/medium/v1/2c3/4e7/9accf8045d98c2d0f3778ca00b.jpg
710bd85ec6b2707d,a2eb24829cbd3eb5,same,https://cdn.hometogo.com/medium/v1/945/0f4/e32207bcaa61e122d2d238d233.jpg,https://cdn.hometogo.com/medium/v1/2c3/4e7/9accf8045d98c2d0f3778ca00b.jpg
