,orbs_ratio,number_of_matches,number_good_matches,hamming_dct_post_resize_and_gray,descriptors_generation_time(ns),matcher_computation_time(ns)
0,0.8901345291479821,445,397,0,93750000,93750000
1,1.0,420,420,0,0,0
2,0.0069124423963133645,428,3,46,0,0
3,0.4166666666666667,264,110,10,15625000,15625000
4,0.0779816513761468,436,34,16,15625000,15625000
5,1.0,432,432,0,0,0
6,0.3686274509803922,229,94,10,0,0
7,0.6093023255813953,430,262,0,0,0
8,0.9976470588235294,425,424,0,15625000,15625000
9,0.00936768149882904,416,4,30,0,0
10,0.006230529595015576,286,2,28,0,0
11,0.0,431,0,32,0,0
12,0.38215102974828374,437,167,16,15625000,15625000
13,1.0,437,437,0,0,0
14,0.011904761904761904,418,5,24,0,0
15,0.4226044226044226,407,172,24,15625000,15625000
16,1.0,433,433,0,0,125000000
17,0.7918552036199095,442,350,0,15625000,15625000
18,1.0,437,437,0,0,125000000
19,0.9700460829493087,434,421,0,0,0
20,1.0,449,449,0,0,0
21,1.0,449,449,0,0,93750000
22,0.6801909307875895,419,285,2,0,0
23,1.0,428,428,0,0,0
24,0.397212543554007,229,114,8,0,0
25,0.6282051282051282,385,245,12,0,0
26,1.0,361,361,0,0,0
27,0.06845965770171149,409,28,24,15625000,15625000
28,0.010810810810810811,363,4,32,0,0
29,1.0,425,425,0,0,0
30,1.0,403,403,0,0,0
31,0.8436657681940701,371,313,2,0,0
32,0.002331002331002331,423,1,26,15625000,15625000
33,1.0,434,434,0,15625000,15625000
34,1.0,429,429,0,0,0
35,0.21497584541062803,408,89,16,0,0
36,0.6675257731958762,384,259,4,0,0
37,0.7304964539007093,423,309,8,0,0
38,0.18561484918793503,423,80,22,15625000,15625000
39,1.0,426,426,0,0,0
40,0.002421307506053269,413,1,34,15625000,15625000
41,0.5913461538461539,415,246,14,0,0
42,0.830952380952381,420,349,0,0,0
43,0.0,404,0,32,15625000,15625000
44,1.0,423,423,0,15625000,15625000
45,0.5700483091787439,404,236,4,15625000,15625000
46,1.0,449,449,0,0,0
47,0.0049504950495049506,404,2,30,0,0
48,0.0971563981042654,420,41,18,0,0
49,0.48409090909090907,440,213,8,15625000,15625000
50,0.5100864553314121,347,177,4,0,0
51,0.22505800464037123,431,97,10,0,0
52,1.0,427,427,0,0,0
53,0.7493734335839599,390,299,2,0,0
54,0.9507389162561576,406,386,0,15625000,15625000
55,0.9524940617577197,418,401,2,0,0
56,1.0,413,413,0,0,0
57,0.014598540145985401,411,6,36,0,0
58,1.0,435,435,0,0,0
59,0.3669250645994832,385,142,6,0,0
60,0.42610837438423643,396,173,16,15625000,15625000
61,0.02102803738317757,428,9,30,0,0
62,0.8060747663551402,427,345,0,0,0
63,1.0,357,357,0,0,0
64,1.0,401,401,0,15625000,15625000
65,0.5952380952380952,420,250,4,0,0
66,0.7818627450980392,399,319,2,0,0
67,1.0,262,262,0,0,0
68,0.8195121951219512,410,336,0,15625000,15625000
69,0.7389277389277389,429,317,2,0,0
70,0.887905604719764,339,301,0,0,0
71,1.0,433,433,0,0,0
72,0.9040767386091128,416,377,0,0,0
73,0.463302752293578,435,202,10,0,0
74,1.0,379,379,0,15625000,15625000
75,0.007481296758104738,401,3,32,0,0
76,0.7909738717339667,416,333,0,0,109375000
77,0.44987775061124696,407,184,10,0,0
78,1.0,423,423,0,0,0
79,0.854066985645933,418,357,0,0,0
80,0.3832199546485261,432,169,8,0,0
81,0.8433179723502304,434,366,0,15625000,15625000
82,0.002304147465437788,434,1,26,0,0
83,0.012285012285012284,390,5,30,0,0
84,0.5080831408775982,429,220,12,0,125000000
85,1.0,379,379,0,0,0
86,0.016666666666666666,416,7,28,15625000,15625000
87,0.8838862559241706,422,373,2,15625000,15625000
88,0.009302325581395349,412,4,20,0,0
89,0.0,420,0,32,0,0
90,0.5835866261398176,329,192,12,0,0
91,0.006896551724137931,412,3,36,0,0
92,0.007058823529411765,425,3,32,15625000,15625000
93,0.8125,352,286,0,0,0
94,0.006772009029345372,436,3,22,15625000,15625000
95,0.009195402298850575,412,4,36,15625000,15625000
96,0.13317757009345793,425,57,14,0,0
97,0.8759894459102903,377,332,0,0,0
98,1.0,435,435,0,0,0
99,0.00477326968973747,410,2,38,0,0
100,0.44761904761904764,420,188,22,15625000,15625000
101,0.48072562358276644,433,212,8,0,0
102,0.01182033096926714,417,5,40,0,0
103,0.00234192037470726,427,1,30,0,0
104,0.017412935323383085,402,7,30,0,0
105,0.5749385749385749,388,234,6,0,0
106,0.004739336492890996,422,2,28,0,0
107,0.0023923444976076554,418,1,30,15625000,15625000
108,0.5579710144927537,414,231,6,0,0
109,1.0,384,384,0,0,0
110,1.0,434,434,0,0,0
111,1.0,428,428,0,0,0
112,0.7439024390243902,410,305,0,0,0
113,1.0,420,420,0,0,0
114,0.02097902097902098,429,9,24,15625000,15625000
115,1.0,424,424,0,0,125000000
116,0.9593023255813954,343,330,0,15625000,15625000
117,0.4679144385026738,374,175,18,0,0
118,0.3488943488943489,403,142,22,0,125000000
119,0.013986013986013986,429,6,24,0,0
120,0.5614849187935035,430,242,0,15625000,15625000
121,1.0,444,444,0,15625000,15625000
122,0.5691244239631337,431,247,12,15625000,15625000
123,0.04239401496259352,398,17,36,0,0
124,0.408675799086758,438,179,8,0,0
125,0.9202127659574468,371,346,0,0,0
126,1.0,428,428,0,15625000,15625000
127,0.7333333333333333,420,308,2,0,0
128,0.005235602094240838,375,2,24,0,0
129,0.632183908045977,435,275,0,0,0
130,0.004807692307692308,397,2,28,0,0
131,0.0024330900243309003,384,1,26,15625000,15625000
132,1.0,421,421,0,0,0
133,0.0072992700729927005,411,3,22,0,0
134,0.0,429,0,26,0,125000000
